LC,LC-title,Element_no,P[kN],Shear_key
227,4041,Shear keys - BS - remaining,10100012,45.2,Shear_key9
228,4041,Shear keys - BS - remaining,10100013,-53.5,Shear_key18
229,4041,Shear keys - BS - remaining,10100014,-53.0,Shear_key18
230,4041,Shear keys - BS - remaining,10100015,-26.5,Shear_key18
231,4041,Shear keys - BS - remaining,10100016,72.8,Shear_key17
232,4041,Shear keys - BS - remaining,10100017,103.4,Shear_key17
233,4041,Shear keys - BS - remaining,10100018,56.2,Shear_key17
234,4041,Shear keys - BS - remaining,10100019,-95.9,Shear_key16
235,4041,Shear keys - BS - remaining,10100020,-104.7,Shear_key16
236,4041,Shear keys - BS - remaining,10100021,-59.9,Shear_key16
237,4041,Shear keys - BS - remaining,10100022,443.5,Shear_key15
238,4041,Shear keys - BS - remaining,10100023,528.8,Shear_key15
239,4041,Shear keys - BS - remaining,10100024,363.1,Shear_key15
240,4041,Shear keys - BS - remaining,10100025,-57.8,Shear_key12
241,4041,Shear keys - BS - remaining,10100026,-58.6,Shear_key12
242,4041,Shear keys - BS - remaining,10100027,-29.5,Shear_key12
243,4041,Shear keys - BS - remaining,10100028,80.4,Shear_key11
244,4041,Shear keys - BS - remaining,10100029,116.8,Shear_key11
245,4041,Shear keys - BS - remaining,10100030,64.1,Shear_key11
246,4041,Shear keys - BS - remaining,10100031,-107.3,Shear_key14
247,4041,Shear keys - BS - remaining,10100032,-117.0,Shear_key14
248,4041,Shear keys - BS - remaining,10100033,-67.7,Shear_key14
249,4041,Shear keys - BS - remaining,10100034,159.7,Shear_key13
250,4041,Shear keys - BS - remaining,10100035,247.7,Shear_key13
251,4041,Shear keys - BS - remaining,10100036,146.5,Shear_key13
252,4042,Walls activation,10100001,-56.8,Shear_key20
253,4042,Walls activation,10100002,-73.3,Shear_key20
254,4042,Walls activation,10100003,-34.3,Shear_key20
255,4042,Walls activation,10100004,60.2,Shear_key19
256,4042,Walls activation,10100005,83.0,Shear_key19
257,4042,Walls activation,10100006,42.5,Shear_key19
258,4042,Walls activation,10100007,-51.8,Not_a_shear_key
259,4042,Walls activation,10100008,-56.7,Not_a_shear_key
260,4042,Walls activation,10100009,-32.7,Not_a_shear_key
261,4042,Walls activation,10100010,63.5,Shear_key9
262,4042,Walls activation,10100011,87.9,Shear_key9
263,4042,Walls activation,10100012,45.6,Shear_key9
264,4042,Walls activation,10100013,-52.5,Shear_key18
265,4042,Walls activation,10100014,-52.6,Shear_key18
266,4042,Walls activation,10100015,-27.0,Shear_key18
267,4042,Walls activation,10100016,72.2,Shear_key17
268,4042,Walls activation,10100017,103.9,Shear_key17
269,4042,Walls activation,10100018,57.6,Shear_key17
270,4042,Walls activation,10100019,-94.6,Shear_key16
271,4042,Walls activation,10100020,-104.1,Shear_key16
272,4042,Walls activation,10100021,-60.2,Shear_key16
273,4042,Walls activation,10100022,440.7,Shear_key15
274,4042,Walls activation,10100023,529.9,Shear_key15
275,4042,Walls activation,10100024,367.4,Shear_key15
276,4042,Walls activation,10100025,-56.7,Shear_key12
277,4042,Walls activation,10100026,-58.2,Shear_key12
278,4042,Walls activation,10100027,-30.0,Shear_key12
279,4042,Walls activation,10100028,79.8,Shear_key11
280,4042,Walls activation,10100029,117.6,Shear_key11
281,4042,Walls activation,10100030,65.8,Shear_key11
282,4042,Walls activation,10100031,-106.0,Shear_key14
283,4042,Walls activation,10100032,-116.3,Shear_key14
284,4042,Walls activation,10100033,-68.1,Shear_key14
285,4042,Walls activation,10100034,158.7,Shear_key13
286,4042,Walls activation,10100035,248.0,Shear_key13
287,4042,Walls activation,10100036,147.9,Shear_key13
288,4043,Shear keys - W - remaining,5100001,-0.1,Shear_key3
